ROW,GMT_TESTTIMESTAMP,COMPONENT_ID,WAFER_ID_XY,PSRO,CWP0_VDDN,CRP0_VDDN,HOME_DIRECTORY,MACHINE_FAMILY,SERIAL,LEVEL,TEST,TEST_PROGRAM,TEST_SUFFIX,PCX_LEVEL,FIRMWARE,BUP_TOOL_VERSION,FN,
"1,2018-04-26 21:56:50.0,""11S02CY382YH3934448367"",""6A058064SOE7/63/22"",8.291,1.163,1.163,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/26/zMcharP00BEF6F.SYSHEDD220180412.928297371082210367.20180426175650.3906M05.zip.gz"",""zMidas"",""BEF6F"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3906~M01~BEF6F~20180426175650~MFG_MFG.xml.gz"","
"1,2018-04-18 16:32:26.0,""11S02CY382YH3934448368"",""6A058064SOE7/49/44"",8.284,1.126,1.126,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM60.SYSHEDD220180412.122188189017371367393368369999370395394.20180418123226.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180418123226~LAB_LAB.xml.gz"","
"1,2018-04-18 16:32:26.0,""11S02CY382YH3934448369"",""6A058064SOE7/91/44"",8.307,1.161,1.161,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM60.SYSHEDD220180412.122188189017371367393368369999370395394.20180418123226.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180418123226~LAB_LAB.xml.gz"","
"1,2018-04-18 16:32:26.0,""11S02CY382YH3934448370"",""6A058064SOE7/63/66"",8.336,1.109,1.109,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM60.SYSHEDD220180412.122188189017371367393368369999370395394.20180418123226.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180418123226~LAB_LAB.xml.gz"","
"1,2018-04-26 21:56:50.0,""11S02CY382YH3934448371"",""6A058064SOE7/63/77"",8.327,1.144,1.144,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/26/zMcharP00BEF6F.SYSHEDD220180412.928297371082210367.20180426175650.3906M05.zip.gz"",""zMidas"",""BEF6F"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3906~M01~BEF6F~20180426175650~MFG_MFG.xml.gz"","
"1,2018-04-18 20:19:14.0,""11S02CY382YH3934448392"",""6A05B148SOB0/91/33"",8.26,1.126,1.126,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM08.SYSHEDD220180412.297165993944057121210396166167246036299392.20180418161914.json.gz"",""zMidas"",""6D437"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~6D437~20180418161914~MFG_MFG.xml.gz"","
"1,2018-04-18 16:32:26.0,""11S02CY382YH3934448394"",""6A05B148SOB0/105/77"",8.104,1.091,1.091,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM60.SYSHEDD220180412.122188189017371367393368369999370395394.20180418123226.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180418123226~LAB_LAB.xml.gz"","
"1,2018-04-18 16:32:26.0,""11S02CY382YH3934448395"",""6A05B148SOB0/91/77"",8.128,1.113,1.113,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM60.SYSHEDD220180412.122188189017371367393368369999370395394.20180418123226.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180418123226~LAB_LAB.xml.gz"","
"1,2018-04-18 20:19:14.0,""11S02CY382YH3934448396"",""6A05B148SOB0/63/77"",8.292,1.13,1.13,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM08.SYSHEDD220180412.297165993944057121210396166167246036299392.20180418161914.json.gz"",""zMidas"",""6D437"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~6D437~20180418161914~MFG_MFG.xml.gz"","
"1,2018-04-23 15:12:47.0,""11S02CY382YH3934452024"",""6A05J128SOC3/77/44"",7.967,1.109,1.109,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/23/zMcharM60.778777782017756604603605999024.20180423111246.zip.gz"",""zMidas"",""D87F7"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180423111247~CHAR_CHAR.xml.gz"","
"1,2018-04-21 23:18:26.0,""11S02CY382YH3934453504"",""6A05W275SOB3/77/77"",8.161,1.107,1.107,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/21/zMcharM08.SYSHEDD220180412.458506977246505979022504944978043.20180421191826.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180421191826~LAB_LAB.xml.gz"","
"1,2018-04-21 23:18:26.0,""11S02CY382YH3934453505"",""6A05J130SOC3/77/22"",7.869,1.047,1.047,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/21/zMcharM08.SYSHEDD220180412.458506977246505979022504944978043.20180421191826.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180421191826~LAB_LAB.xml.gz"","
"1,2018-04-21 23:18:26.0,""11S02CY382YH3934453506"",""6A05J130SOC3/63/33"",7.763,1.031,1.031,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/21/zMcharM08.SYSHEDD220180412.458506977246505979022504944978043.20180421191826.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180421191826~LAB_LAB.xml.gz"","
"1,2018-04-24 23:58:59.0,""11S02CY382YH3934457213"",""6A05F107SOC3/49/66"",8.43,1.113,1.113,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180424.690213221017367223526192051052999224218763.20180424195859.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424195859~LAB_LAB.xml.gz"","
